Ann,A,Smith,2501 Mt. Lee Drive,25-02,Miami,NE,62935,ASmith@yahoo.com,,01012341234,0112223333,1
Laura,B,Jobs,9542 Isabella Ave,95-43,Aurora,FL,62344,LJobs@yahoo.com,022345678,,,2
Harry,J,Williams,1909 4th Street,19-10,Seatle,TX,48548,HWilliams@hotmail.com,,0101112222,,3
Larry,Y,Minella,7839 S.Greenwood Ave,78-40,Miami,IL,65371,LMinella@hotmail.com,,,,1
Richard,Q,Jobs,9732 4th Street,97-33,Chicago,NV,31320,RJobs@gmail.com,,0102223333,,1
Ann,P,Darrow,4195 Jeopardy Lane,41-96,Aurora,CA,24482,ADarrow@hotmail.com,,0103334444,021234567,3
Larry,V,Williams,3075 Wall Street,30-76,St. Louis,NY,34205,LWilliams@hotmail.com,021112222,,,2
Michael,H,Gates,3219 S. Greenwood Ave,32-20,Boston,FL,24692,MGates@gmail.com,,,023334444,4
Harry,H,Johnson,7520 Infinite Loop Drive,75-21,Hollywood,MA,83983,HJohnson@hotmail.com,025556666,0105556666,026667777,4
Harry,N,Ellison,6959 4th Street,69-60,Hollywood,MO,70398,HEllison@gmail.com,,0106667777,020001234,3
